user_id,age,sexe,situation_familiale,nombre_enfants,revenu_mensuel,budget_max,usage_principal,distance_journaliere_km,prefere_electrique,carrosserie_preferee,energie_preferee,boite_preferee,importance_consommation,importance_performance,importance_confort,importance_prix
1,62,Homme,Célibataire,0,1319,40000,Plage,134,0,SUV,Hybride,Automatique,1,1,2,2
2,57,Homme,Marié(e),2,2739,73364,Sport,91,0,Coupé,Diesel,Manuelle,3,3,2,2
3,27,Femme,Célibataire,0,1077,40000,Plage,54,0,SUV,Hybride,Automatique,5,3,5,3
4,24,Homme,Marié(e),4,5155,116516,Désert,23,1,Minibus,Electrique,Automatique,3,3,2,3
5,60,Homme,Marié(e),1,2005,69754,Montagne,73,1,SUV,Electrique,Automatique,2,1,3,4
6,26,Homme,Divorcé(e),1,6984,196311,Désert,72,1,Pick up,Diesel,Manuelle,2,2,5,5
7,59,Femme,Célibataire,1,2921,49125,Ville,102,1,SUV,Diesel,Automatique,4,5,1,4
8,55,Femme,Divorcé(e),2,1369,40000,Plage,5,1,Citadine,Electrique,Automatique,3,4,2,4
9,38,Homme,Marié(e),0,2979,80967,Campagne,33,1,Pick up,Diesel,Automatique,5,3,4,1
10,41,Homme,Célibataire,0,4904,145345,Sport,140,1,Coupé,Diesel,Automatique,4,5,2,3
11,35,Homme,Marié(e),1,2429,57717,Plage,146,0,Monospace,Essence,Automatique,2,1,3,1
12,59,Homme,Célibataire,0,1176,40000,Sport,38,1,Cabriolet,Essence,Automatique,3,4,2,5
13,37,Femme,Marié(e),1,2665,58859,Désert,68,0,Pick up,Essence,Automatique,1,4,3,1
14,34,Femme,Célibataire,0,1208,40000,Sport,129,1,Coupé,Essence,Automatique,1,2,2,4
15,35,Femme,Divorcé(e),0,2499,50739,Sport,80,1,Cabriolet,Electrique,Manuelle,5,4,2,2
16,35,Homme,Marié(e),2,4437,71004,Désert,65,1,SUV,Essence,Automatique,2,1,5,1
17,29,Homme,Marié(e),0,3290,86541,Autoroute,81,1,Citadine,Diesel,Manuelle,2,3,4,2
18,42,Homme,Célibataire,0,1309,40000,Campagne,77,1,Utilitaire,Electrique,Automatique,3,1,2,3
19,32,Femme,Marié(e),2,3066,46469,Sport,44,1,Cabriolet,Essence,Automatique,3,1,1,5
20,40,Homme,Marié(e),1,1981,49739,Autoroute,38,1,Berline,Essence,Manuelle,3,1,1,3
21,32,Femme,Marié(e),1,1208,40952,Montagne,37,0,SUV,Essence,Manuelle,5,5,2,4
22,41,Femme,Marié(e),3,9363,179783,Campagne,65,0,Minibus,Essence,Manuelle,5,4,5,2
23,33,Femme,Célibataire,0,2586,80281,Sport,61,1,Coupé,Electrique,Automatique,1,4,1,4
24,34,Femme,Célibataire,0,7153,110680,Campagne,107,1,Pick up,Electrique,Manuelle,1,3,3,5
