brand,model,version,price,caractéristiques_disponibilité,caractéristiques_carrosserie,caractéristiques_garantie,caractéristiques_nombre_de_places,caractéristiques_nombre_de_portes,motorisation_nombre_de_cylindres,motorisation_energie,motorisation_puissance_fiscale,motorisation_puissance_(ch.din),transmission_boîte,transmission_nombre_de_rapports,transmission_transmission,consommation_consommation_mixte,aides_à_la_conduite_aide_au_stationnement,equipements_extérieurs_jantes,audio_et_communication_ecran_central,equipements_intérieurs_sellerie,equipements_intérieurs_volant,equipements_intérieurs_toit,equipements_fonctionnels_frein_de_stationnement,equipements_fonctionnels_modes_de_conduite,performances_autonomie_électrique_(wltp),consommation_consommation_électrique_(wltp),consommation_temps_de_recharge_normale_(ac),consommation_temps_de_recharge_rapide_(dc)
Alfa-Romeo,Alfa Romeo Giulia,Alfa Romeo Giulia,198000,Indisponible,Berline,3 ans,5,4,4,Essence,11,200,Automatique,8,Propulsion,5.9,Radar de recul | Radar avant,En aluminium | 17'',7 pouces,Cuir,Cuir | Multi-fonctions | Avec palettes,,,,,,,
Alfa-Romeo,Alfa Romeo Stelvio,Alfa Romeo Stelvio,265000,Indisponible,SUV,3 ans,5,5,4,Essence,17,280,Automatique,8,Intégrale,7,Radar de recul | Radar avant | Caméra de recul,En aluminium | 20'',Tactile | 6.5 pouces,Cuir,Cuir | Chauffant | Multi-fonctions | Avec palettes,Ouvrant | Panoramique | + 7000 DT,,,,,,
Audi,Audi A3 Sportback,35 TFSI Iconic Line,139990,Disponible,Compacte,3 ans,5,5,4,Essence,8,150,Automatique,8,Traction,5.4,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Tissu,Cuir | 3 branches | Multi-fonctions | Avec palettes,,Éléctrique,,,,,
Audi,Audi A3 Sportback,35 TFSI Tech Line,154000,Disponible,Compacte,3 ans,5,5,4,Essence,8,150,Automatique,8,Traction,5.4,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Tissu,Cuir | 3 branches | Multi-fonctions | Avec palettes,Panoramique | En verre,Éléctrique,,,,,
Audi,Audi A3 Sportback,35 TFSI S-Line,179990,Disponible,Compacte,3 ans,5,5,4,Essence,8,150,Automatique,8,Traction,5.4,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Similicuir/Tissu,Cuir | 3 branches | Multi-fonctions | Sport | à méplat | Avec palettes,Panoramique | En verre,Éléctrique,,,,,
Audi,Audi A3 Berline,Audi A3 Berline,175000,Disponible,Berline,3 ans,5,4,4,Essence,8,150,Automatique,8,Traction,5.4,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Tissu,Cuir | Multi-fonctions | Avec palettes,Panoramique | En verre,Éléctrique,,,,,
Audi,Audi Q2,Audi Q2,159000,Disponible,SUV,3 ans,5,5,4,Essence,8,150,Automatique,8,Traction,6,Radar de recul | Radar avant | Caméra de recul,En aluminium | 17'',8.8 pouces,Tissu,Cuir | 3 branches | Multi-fonctions | à méplat,Ouvrant | Panoramique,,,,,,
Audi,Audi Q3 Sportback,Audi Q3 Sportback,239000,Disponible,SUV,3 ans,5,5,4,Essence,9,150,Automatique,6,Traction,5.8,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,En aluminium | 18'',Tactile | 8.8 pouces,Cuir/similicuir,Cuir | 3 branches | Multi-fonctions,Ouvrant | Panoramique,,Audi Drive Select,,,,
Audi,Audi A5,Audi A5,259000,Disponible,Berline,3 ans,5,5,4,Essence,8,150,Automatique,7,Traction,7.3,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus | Détection du trafic en marche arrière,En aluminium | 18'',Tactile | Curved Display | 14.5 pouces,Cuir/similicuir,Cuir | 3 branches | Multi-fonctions | Sport | à méplat | Avec palettes,Panoramique | En verre | Electrochrome,Éléctrique,Audi Drive Select,,,,
Audi,Audi A6 Sportback e-tron,Audi A6 Sportback e-tron,269000,Disponible,Berline,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,9,367,Automatique,,Propulsion,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus | Détection du trafic en marche arrière,En aluminium | 20'',Tactile | Curved Display | 14.5 pouces,Cuir/similicuir,Cuir | Chauffant | Multi-fonctions | Sport | à méplat | Réglage électrique | Avec palettes,Panoramique | En verre | Electrochrome,Éléctrique,Audi Drive Select,673,15.9,10,21
Audi,Audi Q6 e-tron,Audi Q6 e-tron,280000,Disponible,SUV,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,9,388,Automatique,,Intégrale,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,En aluminium | 20'',Tactile | 14.5 pouces,Cuir/Microfibre Dinamica | Nappa | Surpiqures,Cuir | 3 branches | Chauffant | Multi-fonctions | Sport | à méplat | Avec palettes,Panoramique | En verre,Éléctrique,Audi Drive Select,619,19.5,10,21
Audi,Audi Q6 Sportback e-tron,Audi Q6 Sportback e-tron,289000,Disponible,SUV,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,9,388,Automatique,,Intégrale,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus | Détection du trafic en marche arrière,En aluminium | 20'',Tactile | Curved Display | 14.5 pouces,Cuir/Microfibre Dinamica | Nappa | Surpiqures,3 branches | Chauffant | Multi-fonctions | Sport | Cuir Perforé | à méplat | Réglage électrique | Avec palettes,Panoramique | En verre,Éléctrique,Audi Drive Select,630,18.7,10,21
Audi,Audi E-tron GT,Audi E-tron GT,390000,Sur arrivage,Berline,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,4,,Electrique,10,476,Automatique,2,Intégrale,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,En aluminium | 21'',10.1 pouces | Tactile avec retour haptique,Cuir perforé | Surpiqures,Cuir | 3 branches | Chauffant | Multi-fonctions | à méplat | Réglage électrique | Avec palettes,Panoramique | En verre,,,487,18.8,4.5,60
Audi,Audi Q8,Audi Q8,525000,Sur commande,SUV,3 ans,5,5,6,Essence | Hybride léger,22,340,Automatique,8,Intégrale,8.9,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,En aluminium | 19'',Tactile | 10.1 pouces,Cuir,Cuir | 3 branches | Multi-fonctions,Panoramique | En verre,Éléctrique,Audi Drive Select,,,,
Avantier,Avantier Avantier C,Avantier Avantier C,28700,En pré-commande,Utilitaire,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,2,3,,Electrique,2,30,Automatique,,Propulsion,,Radar de recul | Caméra de recul,"12""",,Tissu,Multi-fonctions,,,Sport | Eco,182,,8,
Avantier,Avantier Commuter,31 KWH LFP,37800,4 mois | En pré-commande,Citadine,5 ans | Batterie garantie 8 ans,4,5,,Electrique,2,68,Automatique,,Traction,,Radar de recul | Système de caméras 360,En aluminium | 15'' | Bi-ton,Tactile | 10.1 pouces,Tissu | Bi-ton,Multi-fonctions,,Éléctrique | EPB,Normal | Sport | Eco | i-Pedal,300,10.4,9,30
Avantier,Avantier Commuter,31 KWH NMC,45000,1 mois | En pré-commande,Citadine,5 ans | Batterie garantie 8 ans,4,5,,Electrique,2,68,Automatique,,Traction,,Radar de recul | Système de caméras 360,En aluminium | 15'' | Bi-ton,Tactile | 10.1 pouces,Tissu | Bi-ton,Multi-fonctions,,Éléctrique | EPB,Normal | Sport | Eco | i-Pedal,300,10.4,9,30
Bako,Bako Bee,Wave,16980,En pré-commande,Citadine,3 ans ou 60.000 km,3,2,,Electrique,1,3,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,70,,6,180
Bako,Bako Bee,Horizons,19990,En pré-commande,Citadine,3 ans ou 60.000 km,3,2,,Electrique,1,3,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,120,,6,180
Bako,Bako B-Van,Start,22586,En pré-commande,Utilitaire,3 ans ou 60.000 km,1,3,,Electrique,,10,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,100,,6,180
Bako,Bako B-Van,Wave,27990,En pré-commande,Utilitaire,3 ans ou 60.000 km,1,3,,Electrique,,10,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,200,,6,180
Bako,Bako B-Van,Horizons,32313,En pré-commande,Utilitaire,3 ans ou 60.000 km,1,3,,Electrique,,10,Automatique,1,Propulsion,,Caméra de recul,"En aluminium | 12""",Tactile | 10 pouces,Tissu,,,,,250,,6,180
Bmw,BMW Série 1,118 Business Line,155900,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8,156,Automatique,7,Traction,6.4,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 17'',Tactile | 10.7 pouces,Tissu | Arktur anthrazit,Cuir | Multi-fonctions,,Éléctrique,Normal | Sport | Eco,,,,
Bmw,BMW Série 1,118 Lounge,174900,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8,156,Automatique,7,Traction,6.4,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'',Tactile | 10.7 pouces,Mokka | Veganza perforé,Cuir | Multi-fonctions,Ouvrant | Panoramique,Éléctrique,Normal | Sport | Eco,,,,
Bmw,BMW Série 1,118 Pack M,187900,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8,156,Automatique,7,Traction,6.4,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,En aluminium | 18'',Tactile | 10.7 pouces,Alcantara/Veganza Schwarz avec surpiqûres bleues,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | Panoramique,Éléctrique,Normal | Sport | Eco,,,,
Bmw,BMW Série 1,118 Pack M Pro,209900,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8,156,Automatique,7,Traction,6.4,Radar de recul | Radar avant | Système de caméras 360 | Parkassist | Autoreverse,En aluminium | 19'',Tactile | 10.7 pouces,Alcantara/Veganza Schwarz avec surpiqûres bleues,Cuir | Multi-fonctions | M | Sport | Avec palettes,Ouvrant | Panoramique,Éléctrique,Normal | Sport | Eco,,,,
